$T	$D	$I X3	$I X2	$I X1	$I X0	$I Y3	$I Y2	$I Y1	$I Y0	$I C3	$I C2	$I C1	$I C0
10400	100	0	1	1	0	1	0	0	0	1	1	1	0
10500	100	0	1	1	0	1	0	0	1	1	1	0	1
10600	100	0	1	1	0	1	0	1	0	1	1	0	0
10700	100	0	1	1	0	1	0	1	1	1	0	1	1
10800	100	0	1	1	0	1	1	0	0	1	0	1	0
10900	100	0	1	1	0	1	1	0	1	1	0	0	1
11000	100	0	1	1	0	1	1	1	0	1	0	0	0
11100	100	0	1	1	0	1	1	1	1	0	1	1	1
11200	100	0	1	1	1	0	0	0	0	0	1	1	1
11300	100	0	1	1	1	0	0	0	1	0	1	1	0
11400	100	0	1	1	1	0	0	1	0	0	1	0	1
11500	100	0	1	1	1	0	0	1	1	0	1	0	0
11600	100	0	1	1	1	0	1	0	0	0	0	1	1
11700	100	0	1	1	1	0	1	0	1	0	0	1	0
11800	100	0	1	1	1	0	1	1	0	0	0	0	1
11900	100	0	1	1	1	0	1	1	1	0	0	0	0
12000	100	0	1	1	1	1	0	0	0	1	1	1	1
12100	100	0	1	1	1	1	0	0	1	1	1	1	0
12200	100	0	1	1	1	1	0	1	0	1	1	0	1
12300	100	0	1	1	1	1	0	1	1	1	1	0	0
12400	100	0	1	1	1	1	1	0	0	1	0	1	1
12500	100	0	1	1	1	1	1	0	1	1	0	1	0
12600	100	0	1	1	1	1	1	1	0	1	0	0	1
12700	100	0	1	1	1	1	1	1	1	1	0	0	0
12800	100	1	0	0	0	0	0	0	0	1	0	0	0
12900	100	1	0	0	0	0	0	0	1	0	1	1	1
13000	100	1	0	0	0	0	0	1	0	0	1	1	0
13100	100	1	0	0	0	0	0	1	1	0	1	0	1
13200	100	1	0	0	0	0	1	0	0	0	1	0	0
13300	100	1	0	0	0	0	1	0	1	0	0	1	1
13400	100	1	0	0	0	0	1	1	0	0	0	1	0
13500	100	1	0	0	0	0	1	1	1	0	0	0	1
13600	100	1	0	0	0	1	0	0	0	0	0	0	0
13700	100	1	0	0	0	1	0	0	1	1	1	1	1
13800	100	1	0	0	0	1	0	1	0	1	1	1	0
13900	100	1	0	0	0	1	0	1	1	1	1	0	1
14000	100	1	0	0	0	1	1	0	0	1	1	0	0
14100	100	1	0	0	0	1	1	0	1	1	0	1	1
14200	100	1	0	0	0	1	1	1	0	1	0	1	0
14300	100	1	0	0	0	1	1	1	1	1	0	0	1
14400	100	1	0	0	1	0	0	0	0	1	0	0	1
14500	100	1	0	0	1	0	0	0	1	1	0	0	0
14600	100	1	0	0	1	0	0	1	0	0	1	1	1
14700	100	1	0	0	1	0	0	1	1	0	1	1	0
14800	100	1	0	0	1	0	1	0	0	0	1	0	1
14900	100	1	0	0	1	0	1	0	1	0	1	0	0
15000	100	1	0	0	1	0	1	1	0	0	0	1	1
15100	100	1	0	0	1	0	1	1	1	0	0	1	0
15200	100	1	0	0	1	1	0	0	0	0	0	0	1
15300	100	1	0	0	1	1	0	0	1	0	0	0	0
15400	100	1	0	0	1	1	0	1	0	1	1	1	1
15500	100	1	0	0	1	1	0	1	1	1	1	1	0
15600	100	1	0	0	1	1	1	0	0	1	1	0	1
15700	100	1	0	0	1	1	1	0	1	1	1	0	0
15800	100	1	0	0	1	1	1	1	0	1	0	1	1
15900	100	1	0	0	1	1	1	1	1	1	0	1	0
16000	100	1	0	1	0	0	0	0	0	1	0	1	0
16100	100	1	0	1	0	0	0	0	1	1	0	0	1
16200	100	1	0	1	0	0	0	1	0	1	0	0	0
16300	100	1	0	1	0	0	0	1	1	0	1	1	1
16400	100	1	0	1	0	0	1	0	0	0	1	1	0
16500	100	1	0	1	0	0	1	0	1	0	1	0	1
16600	100	1	0	1	0	0	1	1	0	0	1	0	0
16700	100	1	0	1	0	0	1	1	1	0	0	1	1
16800	100	1	0	1	0	1	0	0	0	0	0	1	0
16900	100	1	0	1	0	1	0	0	1	0	0	0	1
17000	100	1	0	1	0	1	0	1	0	0	0	0	0
17100	100	1	0	1	0	1	0	1	1	1	1	1	1
17200	100	1	0	1	0	1	1	0	0	1	1	1	0
17300	100	1	0	1	0	1	1	0	1	1	1	0	1
17400	100	1	0	1	0	1	1	1	0	1	1	0	0
17500	100	1	0	1	0	1	1	1	1	1	0	1	1
17600	100	1	0	1	1	0	0	0	0	1	0	1	1
17700	100	1	0	1	1	0	0	0	1	1	0	1	0
17800	100	1	0	1	1	0	0	1	0	1	0	0	1
17900	100	1	0	1	1	0	0	1	1	1	0	0	0
18000	100	1	0	1	1	0	1	0	0	0	1	1	1
18100	100	1	0	1	1	0	1	0	1	0	1	1	0
18200	100	1	0	1	1	0	1	1	0	0	1	0	1
18300	100	1	0	1	1	0	1	1	1	0	1	0	0
18400	100	1	0	1	1	1	0	0	0	0	0	1	1
18500	100	1	0	1	1	1	0	0	1	0	0	1	0
18600	100	1	0	1	1	1	0	1	0	0	0	0	1
18700	100	1	0	1	1	1	0	1	1	0	0	0	0
18800	100	1	0	1	1	1	1	0	0	1	1	1	1
18900	100	1	0	1	1	1	1	0	1	1	1	1	0
19000	100	1	0	1	1	1	1	1	0	1	1	0	1
19100	100	1	0	1	1	1	1	1	1	1	1	0	0
19200	100	1	1	0	0	0	0	0	0	1	1	0	0
19300	100	1	1	0	0	0	0	0	1	1	0	1	1
19400	100	1	1	0	0	0	0	1	0	1	0	1	0
19500	100	1	1	0	0	0	0	1	1	1	0	0	1
19600	100	1	1	0	0	0	1	0	0	1	0	0	0
19700	100	1	1	0	0	0	1	0	1	0	1	1	1
19800	100	1	1	0	0	0	1	1	0	0	1	1	0
19900	100	1	1	0	0	0	1	1	1	0	1	0	1
20000	100	1	1	0	0	1	0	0	0	0	1	0	0
20100	100	1	1	0	0	1	0	0	1	0	0	1	1
20200	100	1	1	0	0	1	0	1	0	0	0	1	0
20300	100	1	1	0	0	1	0	1	1	0	0	0	1
20400	100	1	1	0	0	1	1	0	0	0	0	0	0
20500	100	1	1	0	0	1	1	0	1	1	1	1	1
20600	100	1	1	0	0	1	1	1	0	1	1	1	0
20700	100	1	1	0	0	1	1	1	1	1	1	0	1
20800	100	1	1	0	1	0	0	0	0	1	1	0	1
20900	100	1	1	0	1	0	0	0	1	1	1	0	0
21000	100	1	1	0	1	0	0	1	0	1	0	1	1
21100	100	1	1	0	1	0	0	1	1	1	0	1	0
21200	100	1	1	0	1	0	1	0	0	1	0	0	1
21300	100	1	1	0	1	0	1	0	1	1	0	0	0
21400	100	1	1	0	1	0	1	1	0	0	1	1	1
21500	100	1	1	0	1	0	1	1	1	0	1	1	0
21600	100	1	1	0	1	1	0	0	0	0	1	0	1
21700	100	1	1	0	1	1	0	0	1	0	1	0	0
21800	100	1	1	0	1	1	0	1	0	0	0	1	1
21900	100	1	1	0	1	1	0	1	1	0	0	1	0
22000	100	1	1	0	1	1	1	0	0	0	0	0	1
22100	100	1	1	0	1	1	1	0	1	0	0	0	0
22200	100	1	1	0	1	1	1	1	0	1	1	1	1
22300	100	1	1	0	1	1	1	1	1	1	1	1	0
22400	100	1	1	1	0	0	0	0	0	1	1	1	0
22500	100	1	1	1	0	0	0	0	1	1	1	0	1
22600	100	1	1	1	0	0	0	1	0	1	1	0	0
22700	100	1	1	1	0	0	0	1	1	1	0	1	1
22800	100	1	1	1	0	0	1	0	0	1	0	1	0
22900	100	1	1	1	0	0	1	0	1	1	0	0	1
23000	100	1	1	1	0	0	1	1	0	1	0	0	0
23100	100	1	1	1	0	0	1	1	1	0	1	1	1
23200	100	1	1	1	0	1	0	0	0	0	1	1	0
23300	100	1	1	1	0	1	0	0	1	0	1	0	1
23400	100	1	1	1	0	1	0	1	0	0	1	0	0
23500	100	1	1	1	0	1	0	1	1	0	0	1	1
23600	100	1	1	1	0	1	1	0	0	0	0	1	0
23700	100	1	1	1	0	1	1	0	1	0	0	0	1
23800	100	1	1	1	0	1	1	1	0	0	0	0	0
23900	100	1	1	1	0	1	1	1	1	1	1	1	1
24000	100	1	1	1	1	0	0	0	0	1	1	1	1
24100	100	1	1	1	1	0	0	0	1	1	1	1	0
24200	100	1	1	1	1	0	0	1	0	1	1	0	1
24300	100	1	1	1	1	0	0	1	1	1	1	0	0
24400	100	1	1	1	1	0	1	0	0	1	0	1	1
24500	100	1	1	1	1	0	1	0	1	1	0	1	0
24600	100	1	1	1	1	0	1	1	0	1	0	0	1
24700	100	1	1	1	1	0	1	1	1	1	0	0	0
24800	100	1	1	1	1	1	0	0	0	0	1	1	1
24900	100	1	1	1	1	1	0	0	1	0	1	1	0
25000	100	1	1	1	1	1	0	1	0	0	1	0	1
25100	100	1	1	1	1	1	0	1	1	0	1	0	0
25200	100	1	1	1	1	1	1	0	0	0	0	1	1
25300	100	1	1	1	1	1	1	0	1	0	0	1	0
25400	100	1	1	1	1	1	1	1	0	0	0	0	1
25500	100	1	1	1	1	1	1	1	1	0	0	0	0
